#,Section,RFP Section,Modules,Purpose,Functions,Items,Detail,Remark / Questions
1,1.1.1,"3.3.1i, 3.3.1v",Event Management,"As a user, I need to view the event list with summary (e.g. category, location, time, status) before drill-in for detail. 
It should have filters to quickly locate the event.",Logging - Event List (Table),Category,"Voltage Dip & Swell Events
Harmonic Events
Flicker Events
Transient Events
Power Factor Events",
,1.1.2,3.3.1ii,Event Management,"As a user, I need to search for incidents using multiple criteria so that I can quickly locate specific power quality events.",Logging - Event List (Table),Searching and filters,"System allows users to search incidents based on various criteria including incident timestamp, location, voltage level, duration, affected customers, IDR number, remaining voltage (%), circuit, and other relevant parameters.",Which data to search and filter
,1.2.1,"3.3.1ii, 3.3.1iv",Event Management,"As a user, I need to view the basic information of the event so that I could understand the background.",Logging -Event detail,General Info,"Timestamp, Duration, Remaining Voltage (%), affected customers",Affected customer summary or detail?
,1.2.2,3.3.1iv,Event Management,"As a user, I need to view the power detail information of the event so that I could understand the background.",Logging -Event detail,Power Info,"Meter ID, Location, Voltage Level, ACB tripping",
,1.2.3,3.3.1vii,Event Management,"As a user, I need to investigate the waveform with zooming, scaling, filtering, harmonic analysis, and time-domain analysis, so that I could analyse the reasons and consequence.",Logging -Event detail,Waveform Display,"Zoom, Filter, Harmonic Analysis, and time-domain analysis.",
,1.2.4,3.3.1iii,Event Management,"As a user, I need to know if the event is validated by ADMS, so that I could follow the true positive events only.",Logging -Event detail,Event validation,Validated by ADMS,
,1.3.1,3.5.1,Event Management,"As a user, I need to manage primary and related events to reflect true fault lineage so that I could view the event as a whole.",Event grouping,Mother Event,System identifies and lists the source event that triggers grouped dips; supports grouped views.,
,1.3.2,3.5.2,Event Management,"As a user, I need full control over event sets so that to better manage the events.",Event grouping,Event Operation,Create/Group/Ungroup/Merge/Delete in event list,
,1.4,3.5.3,Event Management,"As an admin, I need to reduce noise so only actionable alerts appear.",False handling,Configurable Filtering Criteria,Define thresholds/rules to filter false events; criteria to be finalized with users.,What is the different from ADMS validation?
2,2.1,"3.4.1, 3.10.5",Impact Analysis,"As a user, the system needs to map Customer (CA no.) with transformers in substation so that I know the customer affected for each event.",Customer/Transformer Mapping,Auto-map relationships,Map meter ID with CA number to find affected customers,Are 2 RFP sections are the same?
,2.2,"3.3.1ii, 3.4.2",Impact Analysis,"As an user, I want to correlate dips with system faults so that ",Voltage Dip ? System Fault Mapping,Incident Detail Report (IDR) linkage,"Integrate IDR info (number, equipment, location, circuit, voltage) and establish mapping to dip events.",
,2.3,3.4.3,Impact Analysis,"As a user, I need to identify transformers with significant load drops due to voltage dips by analyzing DTx loading data from SharePoint, so that I can identify equipment tripping caused by voltage dips.",Load Rejection (Optional),DTx loading comparison,Identify transformers with significant load drops using configurable formula around dip time; compare SCADA code to meter events.,
,2.4,3.4.4,Impact Analysis,"As a user, I need AI-driven loading waveform pattern recognition to filter out false positive load rejection cases, so that I can accurately identify actual equipment tripping events.",AI Pattern Recognition (Optional),Historical patterns,Use AI on historical DTx loading waveforms to filter repetitive operational patterns.,
,2.5,3.4.5,Impact Analysis,"As a user, I need to identify tripping locations by monitoring smart meter power-up and power-down events within buildings during voltage dips, so that I can pinpoint affected locations accurately.",Smart Meter Event (Optional),Power up/down threshold,Integrate SMP/ERP Enlight to count smart meter power events post-dip; configurable % threshold flags tripping.,
3,3.1.1,3.3.1viii,Analysis,"As a user, I need to view power quality summaries and select specific PQ parameters in table format, so that I can conduct in-depth studies and analysis.",PQ Summary Table,Selectable parameters,Provide table view with user-selected PQ parameters for deep analysis.,
,3.1.2,3.8.2,Analysis,,PQ Summary Table,PQ services logging,"Show the PQ services logging which impacted by selected event, and allow engineers to update the records.",
,3.1.3,3.8.3,Analysis,"As a user, I need to benchmark voltage dip events against standards like ITIC, SEMI F47, and IEC61000-11/34 by voltage level, so that I can determine event compliance and performance.",PQ Summary Table,Voltage Dip Benchmarking,Comparing each voltage dip events against established standards,
,3.2.1,3.11.1,Analysis,"As a user, I need to calculate SARFI-10 to SARFI-90, so that I can measure power quality performance indices.",SARFI,Dip counts per SARFI,Calculate and display no. of dip events counted in SARFI computation from SARFI-10 to SARFI-90,
,3.2.2,3.11.1,Analysis,"As a user, I need to configure parameters (regions, OC, districts, voltage level, weight factor updates), so that I can measure power quality performance correctly.",SARFI,Configurable Weight Factors,Configure parameters and update frequency for SARFI calculation.,
4,4.1,3.9.1,Dashboard,"As a user, I need a dynamic dashboard with customizable parameters and automatic data updates from multiple systems (ADMS, PQDA, PQMS, CPDIS, GIS, ERP Enlight), so that I can visualize and analyze data according to my specific needs.",Dynamic Dashboard,Gadgets,"Affected Substation (Map View)
Event list (Table View)
Affected Customer List
SARFI-X - Year and Month
Root Causes
Transmission voltage dip and Distribution voltage dip
Affected equipment ",
,4.2,3.3.4,Dashboard,"As a user, I need to see configurable pop-up messages on the front page, so that I can be notified of important system announcements.",Widgets,Pop-up Notifications,"System displays pop-up widget on front page with configurable messages, allowing administrators to input messages to be shown.",
,4.3.1,3.3.1vi,Dashboard,"As a user, I want the a weekly data dashboard to monitor the Harmonic level complying with IEEE 519, so that I know the Harmonic compliance and detail.",Harmonic Alerts,Monitor,criteria for detecting abnormalities shall be configurable by users.,
,4.3.2,3.3.1vi,Dashboard,"As a user, I want the system to sen notification to stakeholers when there is abnormality harmonic event so that I could follow asap.",Harmonic Alerts,Notification ,,
5,5.1,3.6.1,Reporting,"As a user, I need to generate supply reliability reports with detailed transmission and distribution system fault information, so that I can analyze system performance and reliability.",Supply Reliability Report,IDR Details & Fault Analysis,"System generates supply reliability reports with detailed information including IDR number, date, time, building type, voltage level, remaining voltage, circuit, faulty phase, duration, region, weather, equipment category, cause, and damage codes.",
,5.2,3.6.2,Reporting,"As a user, I need to generate annual power quality performance reports compliant with supply rules, EN50160, IEEE519, IEC61000-2, and supply code, so that I can demonstrate compliance with industry standards.",Annual PQ Performance Report,Compliance Summary,"System generates annual power quality performance reports incorporating standards including supply rules, EN50160, IEEE519, IEC61000-2, and supply code for compliance verification.",
,5.3,3.8.4,Reporting,"As a user, I need a weekly EN50160 report so that I could analyze the weekly performance.",EN50160 Weekly Report,7-day analysis,Generate 7-day compliance analysis per EN50160.,
,5.4,3.3.3,Reporting,,10-minute Intervals Log,10-minute Intervals Log,"Voltage, Current, Power Factor, Individual harmonic, TDD (Total Demand Distortion), THDI (Total Harmonic Distortion of Current), THDV (Total Harmonic Distortion of Voltage), Voltage Deviation, Flickering and other characteristics specified in the EN50160 standard.",
,5.5,3.6.3,Reporting,"As a user, I need to generate reports on meter data and communication availability, so that I can monitor and gain insight of meter infrastructure performance.",Meter & Communication Availability,Consolidated report,"System generates reports consolidating meter data and communication availability with insights into meter infrastructure performance, data availability, communication status, and relevant metrics.",
6,6.1.1,3.10.3,Asset Management,"As a user, I need to maintain comprehensive and up-to-date meter inventory synchronized with PQMS, CPDIS, and ERP Enlight with daily updates, so that I can track all meter assets accurately.",Meter Inventory,Asset Details,"Include asset no., serial no., IP, MAC, longitude, latitude, SCADA code, brand, model, circuit, voltage, substation, location, etc.; sync with PQMS/CPDIS.",
,6.1.2,3.10.1,Asset Management,"As a user, I need to view updated meter status category from PQMS and CPDIS, so that I can quickly identify and monitor meter functionality.",Meter Inventory,Status,"System provides updated information for each meter from PQMS and CPDIS, categorizing as active (operational), abnormal (with issues requiring attention), or inactive (temporarily out of service).",
,6.1.3,3.10.6,Asset Management,"As a user, I need the ability to ignore overcurrent signals for meters with unavailable or malfunctioning current transformers, so that voltage dip events are not overlooked.",Meter Inventory,Overcurrent Signal Ignore Per meter ,"System includes feature allowing users to ignore overcurrent signal of each meter, preventing system from overlooking voltage dip events due to missing or faulty current detection devices.",
,6.2.1,3.10.2,Asset Management,"As a user, I need to view meter locations on a map with building types, meter types, connection status, event alerts, and filtering options, so that I can visualize meter distribution and identify actual event locations.",Map View,Geolocation of Meters,"System includes map view displaying geographical meter locations with building types, meter types, connection status, event alerts, event information (e.g., voltage dip frequency), with filter options and search function by building type, meter status, voltage level.",
,6.2.2,,Asset Management,,Map View,Event Alerts,,
,6.3,"3.3.2, 3.10.4",Asset Management,"As a user, I need to maintain a log of meter activities and events including measurements, communication events, and alarms, so that I can review historical meter operations.",Meter Event Log,System Log for Meter operations,"System maintains log of meter activities and events providing historical record of meter operations including measurements, communication events, alarms, and significant events.",What is the difference for 2 RFP sections
7,7.1.1,"3.13.1, 3.13.5",Notification,"As a user, the system should provide event notifications with detail by SMS and email so that I don't need to always login system for get updated.",Outbound Notification ,Event Notification by Email/SMS,Event notifications with attachment of related voltage dip waveform,
,7.1.2,3.13.12,Notification,"As a user, I need only the mother event to trigger notifications when multiple events are grouped, so that I avoid duplicate notification for the same incident.",Outbound Notification ,Mother Event Notification,"Based on mother event list, system identifies primary event and only first event triggers notification function.",
,7.1.3,3.7.1,Notification,"As a user, I need to have system interfaces with SMS and email alerts, so that I can quickly notified to fix abnormalities.",Outbound Notification ,System abnormalities,Detect abnormalities by watchdog from across system components and interfaces; send SMS/email to admin group.,
,7.2,3.13.2,Notification,"As a user, I need to enable/disable notifications during maintenance or unexpected incidents and set maintenance periods, so that I can avoid unnecessary alerts during maintenance activities.",Notification Maintenance Mode,Enable/disable with time configuration,"System provides functionality to enable/disable notifications during maintenance or unexpected incidents, allowing users to set specific maintenance periods within PQMAP ensuring no events or notifications triggered during these times.",Time configure is a timer which active when mode is on? And turn the mode off when timer runs out.
,7.3,3.13.8,Notification,"As a system admin, I need a typhoon mode toggle while continuing to record events, so that I can avoid notification overload during typhoon periods.",Typhoon Mode,Suppress outbound notifications & system communication,"System includes typhoon mode to disable SMS, XML/API, and email notifications while continuously recording events with detailed information during typhoon signal, allowing users to manually define the duration.",
,7.4,3.13.11,Notification,"As an admin, I need to suppress notifications for voltage dips received beyond a configurable time so that to avoid sending outdated alerts repeatedly.",Late Suppression,Suppress after threshold,"System suppresses sending XML/API, SMS, and email notifications for voltage dips received more than a configurable number of hours after occurrence.",The purpose is avoiding outdated notification send multiple times?
,7.5.1,3.13.3,Notification,"As a user, I need configurable notification templates for various events based on specific thresholds and alarms, so that I can ensure timely and accurate communication.",Admin message composer,Configurable templates,"System provides configurable notification templates for various events and conditions, sending notifications based on specific thresholds, alarms, or events for timely communication to stakeholders.",
,7.5.2,3.13.9,Notification,"As a system admin, I want to select the audiences and channels for notification so that I can customize notification preferences.",Admin message composer,Audience & channels selection,"System allows users to specify and select which accounts receive various notification options including all types, SMS only, email only, summary table only.",
,7.5.3,"3.13.3, 3,13,10",Notification,"As a system admin, I want to set rules to send notification so that I could control when notification are sent.",Admin message composer,Rule-based notification,"System allows users to configure specific conditions for sending XML, SMS, and email including building type (11kV/132kV/400kV/other), voltage level, duration, notification processing time, threshold, alarms, or events and scheduled sending.",
8,8.1,"3.3.1i, 3.14.2",Integration,"As a system admin, I want the system integrated to the PQMS/CPIDS so that  I can process voltage dip files from OT.",PQMS & CPDIS,,"Process files containing per-phase dip level, duration, location/SCADA code and details transmitted to system.",
,8.2.1,"3.3.1i, 3.14.3",Integration,"As a system, I want the system integrated to PQDA, so that the system ingest PQ service data.",PQDA,PQ Data,Collect PQ service data via file/API and process.,
,8.2.2,3.8.1,Integration,"As a user, I need to view the detailed information of the PQ service so that I can maintain comprehensive service records.",PQDA,PQ Services data,"System integrates with PQDA to collect PQ service data with detailed information including customer name, date of service, affected equipment, service type, finding, and recommendation.",
,8.3,3.3.1iii,Integration,"As a user, I need the system to integrate with ADMS to collect and validate voltage dip events, so that I can ensure event data accuracy through cross-system verification.",ADMS,Event validation,"System integrates with ADMS to collect and process voltage dip event information, establishing validation function to verify and compare events and present validated data on dashboard.",
,8.4,3.4.1,Integration,"As a user, I need PQMAP integrate with GIS & Enlight, so that I can map determine affected customers when events occur.",GIS & Enlight,Customer-Transformer Mapping,"System integrates with ERP Enlight, ADMS, GIS to collect, display and map relationships between customer (account number), transformers, and voltage dip sensitive customers, calculating weight factors (number of customers per transformer).",
,8.5.1,,Integration,"As a user, I need the system integrate to Twilio so that I could send SMS to stakeholders.",Notification,SMS,,
,8.5.2,,Integration,"As a user, I need the system integrate to SMTP server so that I could send emails to stakeholders.",Notification,Email,,
,8.6.1,3.13.7,Integration,"As a user, I need continuous automated monitoring of interfacing system health, so that I can maintain reliable system integration.",Interface Health Monitoring,System connection monitor & alerts,"System monitors system healthiness continuously to all interfacing systems, checking regular health check and interfacing files, generating alerts with meter details (name, ID, location, brand, model) to administrators when no file received within defined timeframe.",Monitor system or meter?
,8.6.2,3.13.7,Integration,"As a user, I need alerts for disconnection, so that I am informed to fix the issue immediately.",Interface Health Monitoring,System Alerts,When connection failure,
,8.7,3.3.2,Integration,"As a user, I would like to view the meter event log which captured power disturbance, communication errors so that I don’t need to login to the MSV for detail.",Logging,Meter Event Log,"PQ disturbance, commiucation errors",
9,9.1,3.1.1,Others,"As a user, the system shall allow to search for specific incidents based on various criteria so I could quickly locate informtion needed.",Advance Searching,,"incident timestamp, location, voltage level, duration, affected customers, IDR number, remaining voltage (%), circuit or any other relevant parameters available in the system.",
,9.2,3.1.4,Others,"As a user, I need to export event data in CSV/Excel format and search events using relevant parameters, so that I can analyze and share power quality data efficiently to external stakeholders.",Data Export,Report & data list export,"System provides features for exporting data in CSV/Excel format, searching with relevant parameters, event settings, and filtering options.",
,9.3,3.17,Others,"As a user, I need to manually import data files in standard formats from external systems prior to full integration, so that I can enable major PQMAP features even before automated integration is complete.",Manual File Import,All required integration data,Upload standard formats; process/display; support manual input and amendment to complete datasets. (Detail in Appendix J),The purpose is for data migration before use?
,9.4,3.2.1,Others,"As a user, I want to view the historical data from other systems in PQMAP so that not need to consolidate information from various system for analysis.",Database,Historical data,"7 years data from PQMS, PQDA, CPDIS and other systems",
,9.5,3.12.1,Others,"As a user, I need role-based user profile management with different access levels (administrators, operators, general users, report viewers), so that system access is secure and controlled based on responsibilities.",User Management,Role & access,"System supports user profile management allowing administrators to create, modify, and control user access levels and privileges, with profiles associated with specific roles (administrators, operators, general users, report viewers).",
,9.6,3.13.6,Others,"As a user, I need the system to generate XML/API files containing event information for transmission to other CLP systems, so that I can enable seamless integration and information exchange.",Outbound system communication,XML / API Connection,"System generates XML/API files with relevant event information for transmission to other CLP systems, facilitating seamless integration and information exchange.",
,,,,,,,,
,Non-Functional,,,,,,,
#,#,RFP Section,Modules,Purpose,Functions,Items,Detail,
,,3.14.1,,"As a user, I need the system to collect and process industry standard file formats (PQDIF, COMTRADE, CSV, XML), so that I can integrate data from various PQ measurement devices.",Industry Standard File Format Support,,"System collects industry standard file formats including PQDIF, COMTRADE, CSV, XML, capturing and storing relevant power quality parameters and waveform data, then presenting on the system.",
,,3.14.2,,"As a user, I need the system to collect and process voltage dip files (XML, PQDIF) from broker servers when voltage dips occur, so that event information is promptly transmitted and processed.",Voltage Dip File Processing,,"System collects voltage dip files (XML, PQDIF) from broker servers (PQMS, CPDIS) in OT zone, processing files containing voltage dip level per phase, dip duration, location/SCADA code, and other details.",
,,3.14.3,,"As a user, I need the system to collect PQ service data from PQDA in File/API format, so that service history can be integrated into the platform.",PQDA Service Data Collection,,System collects PQ service data from PQDA in File/API format and processes the data.,
